id,name,description,price,image,category,tags
27,Quindim,Quindim tradicional de gema e coco.,6.00,/assets/images/products/27.jpg,Doces,quindim;brasileiro
28,Bolo de Aipim,Bolo de aipim com coco ralado.,28.00,/assets/images/products/28.jpg,Bolos,aipim;mandioca
29,Tiramisu,Sobremesa italiana com café e mascarpone.,48.00,/assets/images/products/29.jpg,Especiais,cafe;italiano
30,Palha Italiana,Palha italiana de chocolate meio amargo.,7.00,/assets/images/products/30.jpg,Doces,chocolate;biscoito
31,Bolo de Banana,Bolo de banana caramelizada com canela.,32.00,/assets/images/products/31.jpg,Bolos,banana;canela
32,Cannoli,Cannoli siciliano com recheio de ricota doce.,12.00,/assets/images/products/32.jpg,Especiais,italiano;ricota
33,Pão de Mel,Pão de mel recheado com doce de leite.,9.00,/assets/images/products/33.jpg,Doces,mel;chocolate
34,Bolo de Milho,Bolo de milho cremoso.,25.00,/assets/images/products/34.jpg,Bolos,milho;junina
35,Petit Gateau,Bolinho de chocolate com interior cremoso.,18.00,/assets/images/products/35.jpg,Especiais,chocolate;quente
36,Camafeu de Nozes,Doce fino de nozes banhado no fondant.,5.00,/assets/images/products/36.jpg,Doces,nozes;fino
37,Bolo de Churros,Bolo com massa de canela e recheio de doce de leite.,50.00,/assets/images/products/37.jpg,Bolos,churros;doce de leite
38,Banoffee,Torta de banana com doce de leite e chantilly.,42.00,/assets/images/products/38.jpg,Especiais,banana;doce de leite
39,Bala de Coco,Pacote de balas de coco geladas.,15.00,/assets/images/products/39.jpg,Doces,coco;bala
40,Bolo de Abacaxi,Bolo gelado de abacaxi com coco.,48.00,/assets/images/products/40.jpg,Bolos,abacaxi;gelado
41,Profiteroles,Carolinas recheadas com sorvete e calda de chocolate.,22.00,/assets/images/products/41.jpg,Especiais,sorvete;chocolate
42,Suspiros,Pacote de suspiros caseiros.,10.00,/assets/images/products/42.jpg,Doces,suspiro;merengue
43,Bolo de Maracujá,Bolo fofinho com calda de maracujá.,30.00,/assets/images/products/43.jpg,Bolos,maracuja;azedinho
44,Eclair de Chocolate,Bomba de chocolate com recheio cremoso.,12.00,/assets/images/products/44.jpg,Especiais,bomba;chocolate
45,Cocada Cremosa,Pote de cocada cremosa artesanal.,18.00,/assets/images/products/45.jpg,Doces,coco;pote
46,Bolo de Paçoca,Bolo com cobertura de paçoca e doce de leite.,45.00,/assets/images/products/46.jpg,Bolos,pacoca;amendoim
47,Mousse de Chocolate,Mousse de chocolate meio amargo aerado.,16.00,/assets/images/products/47.jpg,Especiais,chocolate;mousse
48,Goiabinha,Biscoito amanteigado com recheio de goiabada.,12.00,/assets/images/products/48.jpg,Doces,goiaba;biscoito
49,Bolo de Mandioca,Bolo de mandioca cremoso com coco.,26.00,/assets/images/products/49.jpg,Bolos,mandioca;coco
50,Torta de Nozes,Torta de nozes com caramelo salgado.,55.00,/assets/images/products/50.jpg,Especiais,nozes;caramelo
